"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"Control","prime","14013"," ","1","18811","","","","","","",""
"","iat","1644","j","4","29411","Diversity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","906","j","6","30572","Transgender","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","true",""
"","iat","902","f","8","31727","Hetero","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","909","f","10","32891","Heteronormative","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","1193","f","13","38657","Influenza","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","857","f","15","39768","Asthma","Physical illness","Physical illness","Physical illness","Mental illness","true",""
"","iat","776","j","17","40799","OCD","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","640","j","19","41693","Bipolar Disorder","Mental illness","Mental illness","Physical illness","Mental illness","true",""
"","iat","2320","j","22","45234","Genderqueer","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","1366","f","24","46852","Influenza","Physical illness","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","2149","f","26","49255","Hetero","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","1613","j","28","51122","Bipolar Disorder","Mental illness","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","1901","j","31","58929","Cisgendered","Cishet","Mental illness or Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","false",""
"","iat","1108","j","33","60292","Genderqueer","LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","Physical illness or LGBTQ+","true",""
"","iat","1123","f","35","61670","Bipolar Disorder","Mental illness","Mental illness or Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","true",""
"","iat","946","j","37","62870","Common Cold","Physical illness","Physical illness or LGBTQ+","Mental illness or Cishet","Physical illness or LGBTQ+","true",""
"","Questionnaire","69655","{""question1"":1,""question2"":0,""question3"":0,""question4"":0,""question5"":0,""question6"":4,""question7"":4,""question8"":0,""question9"":0,""question10"":4,""question11"":2,""question12"":3,""question13"":4,""question14"":4,""question15"":0}","39","132782","","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]"
