"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"Control","prime","351"," ","1","1315","","","","","","",""
"","iat","1240","f","4","3436","Hetero","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","2656","f","6","6349","Pansexual","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","false",""
"","iat","76","f","8","6678","Straight","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","211","f","10","7146","Fluidity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","false",""
"","iat","223","f","13","8141","Common Cold","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","65","f","15","8462","PTSD","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","187","f","17","8901","Panic Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","124","f","19","9280","Leukemia","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","213","f","22","10578","Diversity","LGBTQ+","Mental illness or LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","true",""
"","iat","178","f","24","11012","Panic Disorder","Mental illness","Mental illness or LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","true",""
"","iat","119","f","26","11386","Common Cold","Physical illness","Physical illness or Cishet","Mental illness or LGBTQ+","Physical illness or Cishet","false",""
"","iat","98","f","28","11736","Conformity","Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","Physical illness or Cishet","false",""
"","iat","263","f","31","13226","Straight","Cishet","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","150","f","33","13629","Panic Disorder","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","113","f","35","13996","Leukemia","Physical illness","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","122","f","37","14373","Nonbinary","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","Questionnaire","3060","{""question1"":"""",""question2"":"""",""question3"":"""",""question4"":"""",""question5"":"""",""question6"":"""",""question7"":"""",""question8"":"""",""question9"":"""",""question10"":"""",""question11"":"""",""question12"":"""",""question13"":"""",""question14"":"""",""question15"":""""}","39","17690","","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]"
