"whichPrime","trialType","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"Queer","prime","782"," ","1","210015","","","","","","",""
"","iat","1105","f","4","211957","Biological","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","80","f","6","212292","Androgynous","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","false",""
"","iat","203","f","8","212748","Heteronormative","Cishet","Cishet","Cishet","LGBTQ+","true",""
"","iat","211","f","10","213215","Diversity","LGBTQ+","LGBTQ+","Cishet","LGBTQ+","false",""
"","iat","313","f","13","214614","Bipolar Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","181","f","15","215049","Asthma","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","162","f","17","215465","Diabetes","Physical illness","Physical illness","Mental illness","Physical illness","false",""
"","iat","161","f","19","215881","Panic Disorder","Mental illness","Mental illness","Mental illness","Physical illness","true",""
"","iat","232","f","22","216864","Genderqueer","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","132","f","24","217251","Nonbinary","LGBTQ+","Physical illness or LGBTQ+","Physical illness or LGBTQ+","Mental illness or Cishet","true",""
"","iat","127","f","26","217632","Bipolar Disorder","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","134","f","28","218021","Anxiety","Mental illness","Mental illness or Cishet","Physical illness or LGBTQ+","Mental illness or Cishet","false",""
"","iat","184","f","31","219057","Queerness","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","126","f","33","219438","Bisexual","LGBTQ+","Mental illness or LGBTQ+","Physical illness or Cishet","Mental illness or LGBTQ+","false",""
"","iat","117","f","35","219809","Biological","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","iat","117","f","37","220180","Vanilla","Cishet","Physical illness or Cishet","Physical illness or Cishet","Mental illness or LGBTQ+","true",""
"","Questionnaire","2750","{""question1"":"""",""question2"":"""",""question3"":"""",""question4"":"""",""question5"":"""",""question6"":"""",""question7"":"""",""question8"":"""",""question9"":"""",""question10"":"""",""question11"":"""",""question12"":"""",""question13"":"""",""question14"":"""",""question15"":""""}","39","223188","","","","","","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]"
